property_id,url,property_type,price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_equipped_kitchen,has_swimming_pool,has_open_fire,property_subtype,postal_code,locality,sale_type
RBU40861,https://immovlan.be/en/detail/apartment/for-sale/1120/neder-over-heembeek/rbu40861,Apartment,169000.0,1.0,60.0,Normal,2.0,0.0,1.0,,,,,apartment,1120.0,neder-over-heembeek,standard
VBD33585,https://immovlan.be/en/detail/studio/for-sale/1000/brussels/vbd33585,Apartment,180000.0,,,Normal,2.0,0.0,1.0,,,,,studio,1000.0,brussels,standard
RBU39932,https://immovlan.be/en/detail/penthouse/for-sale/1020/laken/rbu39932,Apartment,375000.0,2.0,140.0,Normal,2.0,0.0,1.0,,,,,penthouse,1020.0,laken,standard
VBD33815,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd33815,Apartment,420000.0,2.0,104.0,Excellent,2.0,0.0,1.0,,,,,apartment,1000.0,brussels,standard
VBD31013,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd31013,Apartment,279000.0,2.0,91.0,Normal,,0.0,1.0,,,,,apartment,1020.0,laken,standard
RBU37317,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbu37317,Apartment,595000.0,3.0,133.0,Excellent,,0.0,,,,,,apartment,1000.0,brussels,standard
VBD33108,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd33108,Apartment,299000.0,2.0,,nan,,0.0,,,,,,apartment,1000.0,brussels,standard
VBD31080,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd31080,Apartment,415000.0,1.0,56.0,Normal,,,1.0,,,,,apartment,1000.0,brussels,standard
RBU37685,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/rbu37685,Apartment,400000.0,2.0,,New,2.0,,1.0,,,,,apartment,1020.0,laken,standard
RBU37686,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/rbu37686,Apartment,350000.0,2.0,,New,2.0,,,,,,,apartment,1020.0,laken,standard
VBD31516,https://immovlan.be/en/detail/apartment/for-sale/1120/neder-over-heembeek/vbd31516,Apartment,220000.0,2.0,80.0,Normal,3.0,0.0,1.0,,,,,apartment,1120.0,neder-over-heembeek,standard
RBU37687,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/rbu37687,Apartment,275000.0,1.0,,New,2.0,,1.0,,,,,apartment,1020.0,laken,standard
RBU37694,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/rbu37694,Apartment,345000.0,2.0,,New,2.0,,1.0,,,,,apartment,1020.0,laken,standard
RBU37688,https://immovlan.be/en/detail/apartment/for-sale/1120/neder-over-heembeek/rbu37688,Apartment,270000.0,1.0,,New,2.0,,1.0,,,,,apartment,1120.0,neder-over-heembeek,standard
VBD31720,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd31720,Apartment,795000.0,3.0,169.0,Normal,,,1.0,,,,,apartment,1000.0,brussels,standard
RBU37695,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/rbu37695,Apartment,350000.0,,,New,2.0,,1.0,,,,,apartment,1020.0,laken,standard
RBU37697,https://immovlan.be/en/detail/apartment/for-sale/1120/neder-over-heembeek/rbu37697,Apartment,435000.0,3.0,,New,2.0,,1.0,,,,,apartment,1120.0,neder-over-heembeek,standard
VBD31794,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd31794,Apartment,285000.0,2.0,95.0,nan,2.0,,1.0,,,,,apartment,1020.0,laken,standard
