property_id,url,property_type,price,number_of_bedrooms,municipality_url,livable_surface,vat,number_of_bathrooms,elevator,type_of_heating,state_of_the_property,specific_primary_energy_consumption,number_of_toilets,number_of_facades,flooding_area_type,furnished,availability,currently_leased,certification_electrical_installation,running_water,build_year,total_land_surface,cadastral_income,type_of_glazing,floor_of_appartment,garage,preemption_right,orientation_of_the_front_facade,epc_peb_reference,attic,surface_of_living_room,gas,surface_terrace,access_for_disabled,urbanism_affectation,number_of_parking_places_outdoor_,frontage_width,validity_date_epc_peb,number_of_floors,surface_garden,kitchen_equipment,sewer_connection,surface_kitchen,kitchen_type,surface_bedroom_1,ground_depth,surface_bedroom_2,the_property_and_or_its_surroundings_are_protected_,swimming_pool,alarm,building_permission_granted,surface_bedroom_3,cellar,yearly_total_primary_energy_consumption,buildable_surface,terrain_width_at_the_roadside,number_of_garages,planning_permission_granted,balcony,postal_code,municipality,air_conditioning,g_score,p_score,surface_bedroom_4,water_sensitive_open_space_areas,certification_as_build_,garden_orientation,number_of_parking_spaces_indoor_,rain_water_tank,demarcated_flooding_area,co2_emission,number_of_showers,wash_room,entry_phone,surface_of_the_cellar_s_,fireplace,vat_applied_,certification_electrical_installation_validity,solar_panels,floor_heating,opportunity_for_professional,total_surface,adaptations_for_elderlies,level_e,level_k,garden,terrace,609af22983804603bea6649c89f568ac_pdf,3db7d3c8c5b0480fbe5874334949d458_pdf,61b91a4b75064bec8e90edc245196cae_pdf,0aa4be20656b4c69943fca725b87c92c_jpg,4316af2f60b841a6be640faa59e71f6e_jpg,certification_gasoil_tank,327d87d3989f41d8aa4d1a93f8e28b96_pdf,bf93099045124c7aac67041293f89dd4_pdf,b9ccbcc6a522446085f7b2eb40d1acbe_pdf,55900e2f20d8400d84006a1e784eb1ea_png,aba_44025b030100m000_20250510243_pdf,vgi_uittreksel_2025_06_10_10_35_07z_pdf,vip_00529271_pdf,sbestattest_oude_heirbaan_125_9800_deinze_pdf,certificaat_20201112_0002338682_res_1_pdf
VBD42886,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd42886,house,289000.0,3.0,liege,107.0,0.0,1.0,0.0,Gas,Fully renovated,161.0,,,,,Negotiable,,,,,151.0,,,,,,,20250816004528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD43833,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd43833,house,379000.0,4.0,liege,144.0,0.0,1.0,0.0,,Normal,198.0,,,no flooding area,0.0,Immediately,,"No, certificate does not comply",,,525.0,,,,,,,,,18.0,,,,,,,,,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD44119,https://immovlan.be/en/detail/mixed-building/for-sale/4000/liege/vbd44119,house,299000.0,3.0,liege,132.0,0.0,1.0,0.0,,Normal,136.0,,,no flooding area,0.0,Immediately,,"yes, certificate in accordance",,,50.0,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD44261,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd44261,house,315000.0,4.0,liege,144.0,0.0,,0.0,Gas,Normal,228.0,3.0,,,0.0,On contract,0.0,"yes, certificate in accordance",,,,,,,,,,2025103019533,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD44313,https://immovlan.be/en/detail/residence/for-sale/4032/chenee/vbd44313,house,159000.0,2.0,chenee,88.0,0.0,1.0,0.0,,To renovate,378.0,2.0,,,0.0,On contract,,"yes, certificate in accordance",,,,453.0,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD44172,https://immovlan.be/en/detail/residence/for-sale/4031/angleur/vbd44172,house,179000.0,2.0,angleur,72.0,0.0,1.0,0.0,Gas,Normal,385.0,,,,,,,,,,63.0,272.0,,,,,South,20251022013835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a demarcated riparian zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD44368,https://immovlan.be/en/detail/residence/for-sale/4000/rocourt/vbd44368,house,479000.0,3.0,rocourt,161.0,0.0,1.0,,Gas,Excellent,125.0,2.0,,no flooding area,,,,"yes, certificate in accordance",,,463.0,1680.0,,,,,,,,31.0,,,,,,,,,366.0,,,,,,35 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD43927,https://immovlan.be/en/detail/residence/for-sale/4031/angleur/vbd43927,house,195000.0,2.0,angleur,121.0,0.0,1.0,,Gas,Normal,393.0,,,,,From 30/11/2025,1.0,"yes, certificate in accordance",,,,,,,,1.0,West,20230711016069,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBC87395,https://immovlan.be/en/detail/villa/for-sale/4000/liege/vbc87395,house,234000.0,2.0,liege,75.0,0.0,1.0,,,Normal,118.0,,,,0.0,,0.0,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD06501,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd06501,house,229000.0,3.0,liege,160.0,0.0,2.0,0.0,Gas,To renovate,220.0,,,,,,,,,,233.0,,,,,,,20230210004265,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
